SUBMITTED_ID	FBID_KEY	ASSOCIATED_GENE	SYMBOL
Abd-B-PF	FBpp0303552	Abd-B	Abd-B-PF
Abd-B-PG	FBpp0312359	Abd-B	Abd-B-PG
Abd-B-PH	FBpp0373669	Abd-B	Abd-B-PH
Abd-B-PI	FBpp0373670	Abd-B	Abd-B-PI
Abd-B-PJ	FBpp0373671	Abd-B	Abd-B-PJ
Abi-PA	FBpp0082371	Abi	Abi-PA
Abi-PA	FBpp0082371	Abi	Abi-PA
Abi-PB	FBpp0111809	Abi	Abi-PB
Abi-PB	FBpp0111809	Abi	Abi-PB
Abi-PC	FBpp0297919	Abi	Abi-PC
Abi-PC	FBpp0297919	Abi	Abi-PC
Abi-PD	FBpp0297920	Abi	Abi-PD
Abi-PD	FBpp0297920	Abi	Abi-PD
Abi-PE	FBpp0308012	Abi	Abi-PE
Abi-PE	FBpp0308012	Abi	Abi-PE
Abi-PF	FBpp0308013	Abi	Abi-PF
Abi-PF	FBpp0308013	Abi	Abi-PF
Abl-PA	FBpp0075116	Abl	Abl-PA
Abl-PB	FBpp0111702	Abl	Abl-PB
Abl-PC	FBpp0303163	Abl	Abl-PC
Abl-PD	FBpp0303164	Abl	Abl-PD
Abl-PE	FBpp0303165	Abl	Abl-PE
Abl-PF	FBpp0303166	Abl	Abl-PF
Abl-PG	FBpp0303167	Abl	Abl-PG
Abl-PH	FBpp0303168	Abl	Abl-PH
Abl-PI	FBpp0303169	Abl	Abl-PI
Abl-PJ	FBpp0311523	Abl	Abl-PJ
abo-PA	FBpp0079757	abo	abo-PA
Abp1-PA	FBpp0075561	Abp1	Abp1-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
abs-PA	FBpp0078606	abs	abs-PA
Ac13E-PA	FBpp0073889	Ac13E	Ac13E-PA
Ac13E-PB	FBpp0099492	Ac13E	Ac13E-PB
Ac13E-PC	FBpp0304773	Ac13E	Ac13E-PC
Ac3-PA	FBpp0085252	Ac3	Ac3-PA
Ac3-PC	FBpp0099729	Ac3	Ac3-PC
Ac76E-PA	FBpp0074666	Ac76E	Ac76E-PA
Ac76E-PB	FBpp0293288	Ac76E	Ac76E-PB
Ac78C-PB	FBpp0290915	Ac78C	Ac78C-PB
Ac78C-PC	FBpp0293953	Ac78C	Ac78C-PC
Ac78C-PD	FBpp0303099	Ac78C	Ac78C-PD
Ac78C-PE	FBpp0303100	Ac78C	Ac78C-PE
Ac78C-PF	FBpp0305550	Ac78C	Ac78C-PF
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PA	FBpp0084278	Acam	Acam-PA
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acam-PB	FBpp0291175	Acam	Acam-PB
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PA	FBpp0079256	Acbp1	Acbp1-PA
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp1-PB	FBpp0312113	Acbp1	Acbp1-PB
Acbp2-PA	FBpp0076624	Acbp2	Acbp2-PA
Acbp2-PA	FBpp0076624	Acbp2	Acbp2-PA
Acbp2-PA	FBpp0076624	Acbp2	Acbp2-PA
Acbp2-PA	FBpp0076624	Acbp2	Acbp2-PA
Acbp2-PA	FBpp0076624	Acbp2	Acbp2-PA
Acbp2-PB	FBpp0076625	Acbp2	Acbp2-PB
Acbp2-PB	FBpp0076625	Acbp2	Acbp2-PB
Acbp2-PB	FBpp0076625	Acbp2	Acbp2-PB
Acbp2-PB	FBpp0076625	Acbp2	Acbp2-PB
Acbp2-PB	FBpp0076625	Acbp2	Acbp2-PB
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PA	FBpp0076623	Acbp3	Acbp3-PA
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp3-PB	FBpp0290436	Acbp3	Acbp3-PB
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp4-PA	FBpp0076634	Acbp4	Acbp4-PA
Acbp5-PA	FBpp0076318	Acbp5	Acbp5-PA
Acbp5-PA	FBpp0076318	Acbp5	Acbp5-PA
Acbp5-PA	FBpp0076318	Acbp5	Acbp5-PA
Acbp5-PA	FBpp0076318	Acbp5	Acbp5-PA
Acbp5-PA	FBpp0076318	Acbp5	Acbp5-PA
Acbp6-PA	FBpp0076622	Acbp6	Acbp6-PA
Acbp6-PA	FBpp0076622	Acbp6	Acbp6-PA
Acbp6-PA	FBpp0076622	Acbp6	Acbp6-PA
Acbp6-PA	FBpp0076622	Acbp6	Acbp6-PA
Acbp6-PB	FBpp0311659	Acbp6	Acbp6-PB
Acbp6-PB	FBpp0311659	Acbp6	Acbp6-PB
Acbp6-PB	FBpp0311659	Acbp6	Acbp6-PB
Acbp6-PB	FBpp0311659	Acbp6	Acbp6-PB
AcCoAS-PA	FBpp0078067	AcCoAS	AcCoAS-PA
AcCoAS-PA	FBpp0078067	AcCoAS	AcCoAS-PA
AcCoAS-PB	FBpp0078068	AcCoAS	AcCoAS-PB
AcCoAS-PB	FBpp0078068	AcCoAS	AcCoAS-PB
AcCoAS-PD	FBpp0305337	AcCoAS	AcCoAS-PD
AcCoAS-PD	FBpp0305337	AcCoAS	AcCoAS-PD
ACC-PA	FBpp0087947	ACC	ACC-PA
ACC-PA	FBpp0087947	ACC	ACC-PA
ACC-PB	FBpp0087948	ACC	ACC-PB
ACC-PB	FBpp0087948	ACC	ACC-PB
ACC-PC	FBpp0111966	ACC	ACC-PC
ACC-PC	FBpp0111966	ACC	ACC-PC
ACC-PE	FBpp0308268	ACC	ACC-PE
ACC-PE	FBpp0308268	ACC	ACC-PE
ACC-PF	FBpp0308269	ACC	ACC-PF
ACC-PF	FBpp0308269	ACC	ACC-PF
ACC-PG	FBpp0308270	ACC	ACC-PG
ACC-PG	FBpp0308270	ACC	ACC-PG
Ace-PA	FBpp0082248	Ace	Ace-PA
Ace-PB	FBpp0289713	Ace	Ace-PB
Ace-PC	FBpp0307210	Ace	Ace-PC
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PA	FBpp0079297	Acer	Acer-PA
Acer-PB	FBpp0305608	Acer	Acer-PB
Acer-PB	FBpp0305608	Acer	Acer-PB
Acer-PB	FBpp0305608	Acer	Acer-PB
Acer-PB	FBpp0305608	Acer	Acer-PB
Acer-PB	FBpp0305608	Acer	Acer-PB
Acer-PB	FBpp0305608	Acer	Acer-PB
Acf-PA	FBpp0085204	Acf	Acf-PA
achi-PA	FBpp0087054	achi	achi-PA
achi-PC	FBpp0087053	achi	achi-PC
achi-PD	FBpp0308697	achi	achi-PD
Achl-PA	FBpp0086617	Achl	Achl-PA
Achl-PB	FBpp0311633	Achl	Achl-PB
acj6-PA	FBpp0073832	acj6	acj6-PA
acj6-PC	FBpp0099732	acj6	acj6-PC
acj6-PD	FBpp0099734	acj6	acj6-PD
acj6-PE	FBpp0288502	acj6	acj6-PE
acj6-PF	FBpp0288503	acj6	acj6-PF
acj6-PG	FBpp0293719	acj6	acj6-PG
acj6-PH	FBpp0293720	acj6	acj6-PH
acj6-PI	FBpp0293721	acj6	acj6-PI
acj6-PJ	FBpp0293722	acj6	acj6-PJ
acj6-PJ	FBpp0293722	acj6	acj6-PJ
acj6-PK	FBpp0293723	acj6	acj6-PK
acj6-PK	FBpp0293723	acj6	acj6-PK
acj6-PL	FBpp0293724	acj6	acj6-PL
acj6-PM	FBpp0293725	acj6	acj6-PM
acj6-PN	FBpp0293726	acj6	acj6-PN
acj6-PN	FBpp0293726	acj6	acj6-PN
Ack-like-PA	FBpp0303361	Ack-like	Ack-like-PA
Ack-like-PC	FBpp0303362	Ack-like	Ack-like-PC
Ack-like-PD	FBpp0303363	Ack-like	Ack-like-PD
Ack-like-PE	FBpp0303364	Ack-like	Ack-like-PE
Ack-PA	FBpp0073067	Ack	Ack-PA
Ack-PA	FBpp0073067	Ack	Ack-PA
Acn-PA	FBpp0080689	Acn	Acn-PA
Acn-PB	FBpp0080688	Acn	Acn-PB
Acn-PC	FBpp0307803	Acn	Acn-PC
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
ACOX1-PA	FBpp0088517	ACOX1	ACOX1-PA
Acox57D-d-PA	FBpp0071533	Acox57D-d	Acox57D-d-PA
Acox57D-d-PA	FBpp0071533	Acox57D-d	Acox57D-d-PA
Acox57D-d-PA	FBpp0071533	Acox57D-d	Acox57D-d-PA
Acox57D-d-PA	FBpp0071533	Acox57D-d	Acox57D-d-PA
Acox57D-d-PA	FBpp0071533	Acox57D-d	Acox57D-d-PA
Acox57D-p-PA	FBpp0071532	Acox57D-p	Acox57D-p-PA
Acox57D-p-PA	FBpp0071532	Acox57D-p	Acox57D-p-PA
Acox57D-p-PA	FBpp0071532	Acox57D-p	Acox57D-p-PA
Acox57D-p-PA	FBpp0071532	Acox57D-p	Acox57D-p-PA
Acox57D-p-PA	FBpp0071532	Acox57D-p	Acox57D-p-PA
Acox57D-p-PB	FBpp0309692	Acox57D-p	Acox57D-p-PB
Acox57D-p-PB	FBpp0309692	Acox57D-p	Acox57D-p-PB
Acox57D-p-PB	FBpp0309692	Acox57D-p	Acox57D-p-PB
Acox57D-p-PB	FBpp0309692	Acox57D-p	Acox57D-p-PB
Acox57D-p-PB	FBpp0309692	Acox57D-p	Acox57D-p-PB
Acp1-PA	FBpp0079123	Acp1	Acp1-PA
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PB	FBpp0110063	Acp24A4	Acp24A4-PB
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp24A4-PC	FBpp0296953	Acp24A4	Acp24A4-PC
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
Acp65Aa-PA	FBpp0076729	Acp65Aa	Acp65Aa-PA
ac-PA	FBpp0070071	ac	ac-PA
